Method,Processes,File,Pages,Jobs,Extract_Time,Job_Time,Total_Time
Serial,1,data/385.pdf,21,10,0.05908712099699187,0.31648882100125775,0.3755783420019725
Serial,1,data/386.pdf,66,24,0.1444771860005858,1.6159338090001256,1.7604129779974755
Serial,1,data/387.pdf,36,19,0.06567465500120306,2.598580817000766,2.6642577169986907
Serial,1,data/388.pdf,18,6,0.031036742999276612,0.8058345940007712,0.8368729499998153
Serial,1,data/389.pdf,53,32,0.08294604399998207,3.2744646780010953,3.35741338400112
Serial,1,data/390.pdf,34,13,0.05703957200239529,0.7036021570020239,0.7606436339992797
Serial,1,data/391.pdf,31,16,0.05657054400217021,0.7308719400025439,0.787444718000188
Workers,2,data/385.pdf,21,10,0.03836989402770996,0.3225889205932617,0.3609614372253418
Workers,2,data/386.pdf,66,24,0.08694696426391602,1.635702133178711,1.722651720046997
Workers,2,data/387.pdf,36,19,0.03850364685058594,2.5675406455993652,2.606046438217163
Workers,2,data/388.pdf,18,6,0.01860666275024414,0.8084518909454346,0.8270606994628906
Workers,2,data/389.pdf,53,32,0.05114436149597168,3.3196396827697754,3.3707869052886963
Workers,2,data/390.pdf,34,13,0.03302264213562012,0.7147040367126465,0.7477288246154785
Workers,2,data/391.pdf,31,16,0.03168225288391113,0.7366616725921631,0.7683463096618652
Scatter,2,data/385.pdf,21,10,0.03862643241882324,0.17191267013549805,0.21054458618164062
Scatter,2,data/386.pdf,66,24,0.08630037307739258,0.8886854648590088,0.9749889373779297
Scatter,2,data/387.pdf,36,19,0.03825497627258301,1.558504343032837,1.5967624187469482
Scatter,2,data/388.pdf,18,6,0.01914191246032715,0.7879533767700195,0.8070976734161377
Scatter,2,data/389.pdf,53,32,0.0523838996887207,2.150071144104004,2.202458143234253
Scatter,2,data/390.pdf,34,13,0.03313016891479492,0.40537309646606445,0.4385058879852295
Scatter,2,data/391.pdf,31,16,0.032190799713134766,0.5649306774139404,0.597123384475708
Workers,4,data/385.pdf,21,10,0.03690528869628906,0.12532877922058105,0.16223692893981934
Workers,4,data/386.pdf,66,24,0.05992937088012695,0.6093380451202393,0.6692700386047363
Workers,4,data/387.pdf,36,19,0.026059865951538086,1.1829540729522705,1.2090165615081787
Workers,4,data/388.pdf,18,6,0.012152671813964844,0.8478567600250244,0.8600122928619385
Workers,4,data/389.pdf,53,32,0.03434467315673828,1.5191214084625244,1.5534694194793701
Workers,4,data/390.pdf,34,13,0.023643016815185547,0.403942346572876,0.42758822441101074
Workers,4,data/391.pdf,31,16,0.0321500301361084,0.41737937927246094,0.44953250885009766
Scatter,4,data/385.pdf,21,10,0.1213693618774414,0.26360201835632324,0.3849751949310303
Scatter,4,data/386.pdf,66,24,0.05679678916931152,0.9409992694854736,0.9978001117706299
Scatter,4,data/387.pdf,36,19,0.0639500617980957,1.3700380325317383,1.4339914321899414
Scatter,4,data/388.pdf,18,6,0.021883487701416016,1.2081363201141357,1.2300231456756592
Scatter,4,data/389.pdf,53,32,0.0463559627532959,1.471104621887207,1.5174639225006104
Scatter,4,data/390.pdf,34,13,0.021738767623901367,0.39208412170410156,0.41382575035095215
Scatter,4,data/391.pdf,31,16,0.02181100845336914,0.5531296730041504,0.574944257736206
Workers,8,data/385.pdf,21,10,0.20036578178405762,0.2918996810913086,0.49226927757263184
Workers,8,data/386.pdf,66,24,0.12401318550109863,0.6738286018371582,0.7978451251983643
Workers,8,data/387.pdf,36,19,0.07920336723327637,1.3388464450836182,1.4180543422698975
Workers,8,data/388.pdf,18,6,0.028575897216796875,1.731647253036499,1.7602269649505615
Workers,8,data/389.pdf,53,32,0.07387661933898926,1.4567322731018066,1.5306127071380615
Workers,8,data/390.pdf,34,13,0.0670781135559082,0.6978819370269775,0.7649633884429932
Workers,8,data/391.pdf,31,16,0.05598258972167969,0.9320240020751953,0.988011360168457
Scatter,8,data/385.pdf,21,10,0.18933415412902832,0.5842807292938232,0.7736213207244873
Scatter,8,data/386.pdf,66,24,0.2279987335205078,1.1680452823638916,1.3960480690002441
Scatter,8,data/387.pdf,36,19,0.06396746635437012,3.1359479427337646,3.1999199390411377
Scatter,8,data/388.pdf,18,6,0.035919189453125,2.2172837257385254,2.253206491470337
Scatter,8,data/389.pdf,53,32,0.0713338851928711,1.718806266784668,1.7901437282562256
Scatter,8,data/390.pdf,34,13,0.11996340751647949,0.9439797401428223,1.06394624710083
Scatter,8,data/391.pdf,31,16,0.05999040603637695,1.179945945739746,1.2399392127990723
Workers,16,data/385.pdf,21,10,0.2500309944152832,0.6055252552032471,0.8555600643157959
Workers,16,data/386.pdf,66,24,0.19842982292175293,0.8539431095123291,1.0523765087127686
Workers,16,data/387.pdf,36,19,0.15796160697937012,2.4905405044555664,2.648505210876465
Workers,16,data/388.pdf,18,6,0.08942985534667969,3.2119665145874023,3.3013994693756104
Workers,16,data/389.pdf,53,32,0.16395282745361328,2.11771297454834,2.281669855117798
Workers,16,data/390.pdf,34,13,0.15022611618041992,1.6999943256378174,1.8502233028411865
Workers,16,data/391.pdf,31,16,0.11594438552856445,1.0839922428131104,1.1999399662017822
Scatter,16,data/385.pdf,21,10,0.20691561698913574,0.5399570465087891,0.7468776702880859
Scatter,16,data/386.pdf,66,24,0.2199721336364746,1.195960283279419,1.41593599319458
Scatter,16,data/387.pdf,36,19,0.14962267875671387,3.0263328552246094,3.1759588718414307
Scatter,16,data/388.pdf,18,6,0.10798168182373047,3.3359625339508057,3.4439473152160645
Scatter,16,data/389.pdf,53,32,0.12399673461914062,3.0707969665527344,3.1947972774505615
Scatter,16,data/390.pdf,34,13,0.12910175323486328,2.047987699508667,2.1770925521850586
Scatter,16,data/391.pdf,31,16,0.08746457099914551,1.2564754486083984,1.3439433574676514
